trip_id,arrival_time,departure_time,stop_id,stop_sequence
trdu-x90-1,,02:30,dundee,0
trdu-x90-2,,04:00,dundee,0
trdu-x90-3,,05:30,dundee,0
trdu-x90-4,,07:00,dundee,0
trdu-x90-5,,08:30,dundee,0
trdu-x90-6,,10:00,dundee,0
trdu-x90-7,,11:30,dundee,0
trdu-x90-8,,13:00,dundee,0
trdu-x90-9,,14:30,dundee,0
trdu-x90-10,,16:00,dundee,0
trdu-x90-11,,17:30,dundee,0
trdu-x90-12,,19:00,dundee,0
trdu-x90-13,,20:30,dundee,0
trdu-x90-14,,22:00,dundee,0
trdu-x90-15,,23:30,dundee,0
trdu-x90-1,03:50,,6200247619,1
trdu-x90-2,05:20,,6200247619,1
trdu-x90-3,06:50,,6200247619,1
trdu-x90-4,08:20,,6200247619,1
trdu-x90-5,09:50,,6200247619,1
trdu-x90-6,11:20,,6200247619,1
trdu-x90-7,12:50,,6200247619,1
trdu-x90-8,14:20,,6200247619,1
trdu-x90-9,15:50,,6200247619,1
trdu-x90-10,17:20,,6200247619,1
trdu-x90-11,18:50,,6200247619,1
trdu-x90-12,20:20,,6200247619,1
trdu-x90-13,21:50,,6200247619,1
trdu-x90-14,23:20,,6200247619,1
trdu-x90-15,24:50,,6200247619,1
trdu-x90-16,,04:00,6200247619,0
trdu-x90-17,,05:30,6200247619,0
trdu-x90-18,,07:00,6200247619,0
trdu-x90-19,,08:30,6200247619,0
trdu-x90-20,,10:00,6200247619,0
trdu-x90-21,,11:30,6200247619,0
trdu-x90-22,,13:00,6200247619,0
trdu-x90-23,,14:30,6200247619,0
trdu-x90-24,,16:00,6200247619,0
trdu-x90-25,,17:30,6200247619,0
trdu-x90-26,,19:00,6200247619,0
trdu-x90-27,,20:30,6200247619,0
trdu-x90-28,,22:00,6200247619,0
trdu-x90-29,,23:30,6200247619,0
trdu-x90-30,,25:00,6200247619,0
trdu-x90-16,05:20,,dundee,1
trdu-x90-17,06:50,,dundee,1
trdu-x90-18,08:20,,dundee,1
trdu-x90-19,09:50,,dundee,1
trdu-x90-20,11:20,,dundee,1
trdu-x90-21,12:50,,dundee,1
trdu-x90-22,14:20,,dundee,1
trdu-x90-23,15:50,,dundee,1
trdu-x90-24,17:20,,dundee,1
trdu-x90-25,18:50,,dundee,1
trdu-x90-26,20:20,,dundee,1
trdu-x90-27,21:50,,dundee,1
trdu-x90-28,23:20,,dundee,1
trdu-x90-29,24:50,,dundee,1
trdu-x90-30,26:20,,dundee,1
