Reg_No,"Variation Number","Service Number","Current Traffic Area",Lic_No,"Discs in Possession",AUTHDISCS,Granted_Date,Exp_Date,Description,Op_ID,Op_Name,trading_name,Address,start_point,finish_point,via,effective_date,received_date,end_date,Service_Type_Other_Details,"Licence Status","Registration Status",Pub_Text,Service_Type_Description,"Short Notice",Subsidies_Description,Subsidies_Details,Auth_Description,"TAO Covered BY Area","Registration Code"
PF1018256/2,20,46,F,PF1018256,99,99,28/04/03,31/03/23,"Standard International",158447,"SANDERS COACHES LIMITED",,"HEMPSTEAD ROAD BUSINESS CENTRE, HOLT, NR25 6EE, GB",HOLT,FAKENHAM,"LETHERINGSETT, GLANDFORD, WIVETON, CLEY, BLAKENEY, MORSTON, FIELD DALLING, HINDRINGHAM AND THURSFORD",08/10/17,26/09/17,,"Vary timetable.",Valid,Registered,"Operating between HOLT and FAKENHAM given service number 46 effective from 08 October 2017. To amend Timetable.","Normal Stopping",Yes,Yes,"NORFOLK CC","Norfolk County Council","East of England",2
PF0000705/1,20,304,F,PF0000705,44,50,01/03/94,28/02/24,"Standard International",16476,"SIMONDS OF BOTESDALE LTD","R O SIMONDS","Roswald House, Simonds, Oak Drive, DISS, IP22 4GX, GB","Diss Bus Station","Bury St Edmunds",,01/07/20,29/06/20,,"To re-instate usual service as prior to the covid19 pandemic",Valid,Registered,"Operating between Diss Bus Station and Bury St Edmunds given service number 304 / 337 / 338 effective from 01 July 2020. To amend Timetable.","Normal Stopping",Yes,"In Part","SUFFOLK CC","Norfolk County Council","East of England",1
PF0000705/1,20,304,F,PF0000705,44,50,01/03/94,28/02/24,"Standard International",16476,"SIMONDS OF BOTESDALE LTD","R O SIMONDS","Roswald House, Simonds, Oak Drive, DISS, IP22 4GX, GB","Diss Bus Station","Bury St Edmunds",,01/07/20,29/06/20,,"To re-instate usual service as prior to the covid19 pandemic",Valid,Registered,"Operating between Diss Bus Station and Bury St Edmunds given service number 304 / 337 / 338 effective from 01 July 2020. To amend Timetable.","Normal Stopping",Yes,"In Part","SUFFOLK CC","Suffolk County Council","East of England",1
PF0000705/1,20,304,F,PF0000705,44,50,01/03/94,28/02/24,"Standard International",16476,"SIMONDS OF BOTESDALE LTD","Simonds Coach& Travel","Roswald House, Simonds, Oak Drive, DISS, IP22 4GX, GB","Diss Bus Station","Bury St Edmunds",,01/07/20,29/06/20,,"To re-instate usual service as prior to the covid19 pandemic",Valid,Registered,"Operating between Diss Bus Station and Bury St Edmunds given service number 304 / 337 / 338 effective from 01 July 2020. To amend Timetable.","Normal Stopping",Yes,"In Part","SUFFOLK CC","Norfolk County Council","East of England",1
PF0000705/1,20,304,F,PF0000705,44,50,01/03/94,28/02/24,"Standard International",16476,"SIMONDS OF BOTESDALE LTD","Simonds Coach& Travel","Roswald House, Simonds, Oak Drive, DISS, IP22 4GX, GB","Diss Bus Station","Bury St Edmunds",,01/07/20,29/06/20,,"To re-instate usual service as prior to the covid19 pandemic",Valid,Registered,"Operating between Diss Bus Station and Bury St Edmunds given service number 304 / 337 / 338 effective from 01 July 2020. To amend Timetable.","Normal Stopping",Yes,"In Part","SUFFOLK CC","Suffolk County Council","East of England",1
PF0000705/1,20,304,F,PF0000705,44,50,01/03/94,28/02/24,"Standard International",16476,"SIMONDS OF BOTESDALE LTD","Simonds Countrylink","Roswald House, Simonds, Oak Drive, DISS, IP22 4GX, GB","Diss Bus Station","Bury St Edmunds",,01/07/20,29/06/20,,"To re-instate usual service as prior to the covid19 pandemic",Valid,Registered,"Operating between Diss Bus Station and Bury St Edmunds given service number 304 / 337 / 338 effective from 01 July 2020. To amend Timetable.","Normal Stopping",Yes,"In Part","SUFFOLK CC","Norfolk County Council","East of England",1
PF0000705/1,20,304,F,PF0000705,44,50,01/03/94,28/02/24,"Standard International",16476,"SIMONDS OF BOTESDALE LTD","Simonds Countrylink","Roswald House, Simonds, Oak Drive, DISS, IP22 4GX, GB","Diss Bus Station","Bury St Edmunds",,01/07/20,29/06/20,,"To re-instate usual service as prior to the covid19 pandemic",Valid,Registered,"Operating between Diss Bus Station and Bury St Edmunds given service number 304 / 337 / 338 effective from 01 July 2020. To amend Timetable.","Normal Stopping",Yes,"In Part","SUFFOLK CC","Suffolk County Council","East of England",1
PF0000705/2,6,"Sim 1 653/1",F,PF0000705,44,50,01/03/94,28/02/24,"Standard International",16476,"SIMONDS OF BOTESDALE LTD","R O SIMONDS","Roswald House, Simonds, Oak Drive, DISS, IP22 4GX, GB","Diss Bus Station","Norwich All Saints Green",,31/08/20,26/08/20,,"Service reverting back to pre covid registration",Valid,Registered,"Operating between Diss Bus Station and Norwich All Saints Green given service number Sim 1 653/1 effective from 31 August 2020. To amend Timetable.","School or Works",Yes,"In Part","NORFOLK CC","Norfolk County Council","East of England",2
PF0000705/2,6,"Sim 1 653/1",F,PF0000705,44,50,01/03/94,28/02/24,"Standard International",16476,"SIMONDS OF BOTESDALE LTD","Simonds Coach& Travel","Roswald House, Simonds, Oak Drive, DISS, IP22 4GX, GB","Diss Bus Station","Norwich All Saints Green",,31/08/20,26/08/20,,"Service reverting back to pre covid registration",Valid,Registered,"Operating between Diss Bus Station and Norwich All Saints Green given service number Sim 1 653/1 effective from 31 August 2020. To amend Timetable.","School or Works",Yes,"In Part","NORFOLK CC","Norfolk County Council","East of England",2
PF0000705/2,6,"Sim 1 653/1",F,PF0000705,44,50,01/03/94,28/02/24,"Standard International",16476,"SIMONDS OF BOTESDALE LTD","Simonds Countrylink","Roswald House, Simonds, Oak Drive, DISS, IP22 4GX, GB","Diss Bus Station","Norwich All Saints Green",,31/08/20,26/08/20,,"Service reverting back to pre covid registration",Valid,Registered,"Operating between Diss Bus Station and Norwich All Saints Green given service number Sim 1 653/1 effective from 31 August 2020. To amend Timetable.","School or Works",Yes,"In Part","NORFOLK CC","Norfolk County Council","East of England",2
